"","Parameter","Specie","Treatment","Plante","Time","Value"
"441","ageAdv","Epinard","Feuilles",5,"T1",0
"442","distAdv","Epinard","Feuilles",5,"T1",0
"443","erAdv","Epinard","Feuilles",5,"T1",0
"444","dAdv","Epinard","Feuilles",5,"T1",0
"445","maxAdv","Epinard","Feuilles",5,"T1",0
"446","dmin","Epinard","Feuilles",5,"T1",0.322187556
"447","dmax","Epinard","Feuilles",5,"T1",0.521064028
"448","EL","Epinard","Feuilles",5,"T1",19.6
"449","TrT","Epinard","Feuilles",5,"T1",1
"450","Trint","Epinard","Feuilles",5,"T1",0.03
"451","PDT","Epinard","Feuilles",5,"T1",6.015
"452","IPD","Epinard","Feuilles",5,"T1",2.20616117764831
"453","pdmax","Epinard","Feuilles",5,"T1",0.8
"454","pdmin","Epinard","Feuilles",5,"T1",0
"455","RDM","Epinard","Feuilles",5,"T1",0.151
"456","CVDD","Epinard","Feuilles",5,"T1",0.15
"457","TMD","Epinard","Feuilles",5,"T1",4.26061691121922
"458","GDs","Epinard","Feuilles",5,"T1",400
"459","SGC","Epinard","Feuilles",5,"T1",0.9
"460","LDC","Epinard","Feuilles",5,"T1",5000
"461","erSem","Epinard","Feuilles",6,"T2",0.12752
"462","dSem","Epinard","Feuilles",6,"T2",1
"463","maxSem","Epinard","Feuilles",6,"T2",1
"464","ageAdv","Epinard","Feuilles",6,"T2",0
"465","distAdv","Epinard","Feuilles",6,"T2",0
"466","erAdv","Epinard","Feuilles",6,"T2",0
"467","dAdv","Epinard","Feuilles",6,"T2",0
"468","maxAdv","Epinard","Feuilles",6,"T2",0
"469","dmin","Epinard","Feuilles",6,"T2",0.248634782
"470","dmax","Epinard","Feuilles",6,"T2",0.44601104
"471","EL","Epinard","Feuilles",6,"T2",19.6
"472","TrT","Epinard","Feuilles",6,"T2",1
"473","Trint","Epinard","Feuilles",6,"T2",0.03
"474","PDT","Epinard","Feuilles",6,"T2",6.015
"475","IPD","Epinard","Feuilles",6,"T2",6.66349055831532
"476","pdmax","Epinard","Feuilles",6,"T2",0.8
"477","pdmin","Epinard","Feuilles",6,"T2",0
"478","RDM","Epinard","Feuilles",6,"T2",0.151
"479","CVDD","Epinard","Feuilles",6,"T2",0.15
"480","TMD","Epinard","Feuilles",6,"T2",82.7746338763606
"481","GDs","Epinard","Feuilles",6,"T2",400
"482","SGC","Epinard","Feuilles",6,"T2",0.9
"483","LDC","Epinard","Feuilles",6,"T2",5000
"484","erSem","Epinard","Feuilles",7,"T2",0.12752
"485","dSem","Epinard","Feuilles",7,"T2",1
"486","maxSem","Epinard","Feuilles",7,"T2",1
"487","ageAdv","Epinard","Feuilles",7,"T2",0
"488","distAdv","Epinard","Feuilles",7,"T2",0
"489","erAdv","Epinard","Feuilles",7,"T2",0
"490","dAdv","Epinard","Feuilles",7,"T2",0
"491","maxAdv","Epinard","Feuilles",7,"T2",0
"492","dmin","Epinard","Feuilles",7,"T2",0.253907334
"493","dmax","Epinard","Feuilles",7,"T2",0.68211972
"494","EL","Epinard","Feuilles",7,"T2",19.6
"495","TrT","Epinard","Feuilles",7,"T2",1
"496","Trint","Epinard","Feuilles",7,"T2",0.03
"497","PDT","Epinard","Feuilles",7,"T2",6.015
"498","IPD","Epinard","Feuilles",7,"T2",11.2900133816115
"499","pdmax","Epinard","Feuilles",7,"T2",0.8
"500","pdmin","Epinard","Feuilles",7,"T2",0
"501","RDM","Epinard","Feuilles",7,"T2",0.151
"502","CVDD","Epinard","Feuilles",7,"T2",0.15
"503","TMD","Epinard","Feuilles",7,"T2",68.7977871880659
"504","GDs","Epinard","Feuilles",7,"T2",400
"505","SGC","Epinard","Feuilles",7,"T2",0.9
"506","LDC","Epinard","Feuilles",7,"T2",5000
"507","erSem","Epinard","Feuilles",8,"T2",0.12752
"508","dSem","Epinard","Feuilles",8,"T2",1
"509","maxSem","Epinard","Feuilles",8,"T2",1
"510","ageAdv","Epinard","Feuilles",8,"T2",0
"511","distAdv","Epinard","Feuilles",8,"T2",0
"512","erAdv","Epinard","Feuilles",8,"T2",0
"513","dAdv","Epinard","Feuilles",8,"T2",0
"514","maxAdv","Epinard","Feuilles",8,"T2",0
"515","dmin","Epinard","Feuilles",8,"T2",0.26884744
"516","dmax","Epinard","Feuilles",8,"T2",0.5063757
"517","EL","Epinard","Feuilles",8,"T2",19.6
"518","TrT","Epinard","Feuilles",8,"T2",1
"519","Trint","Epinard","Feuilles",8,"T2",0.03
